Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
15,29,4,Laptop & Accessory,3,Single,2,0,7,143.32,0
7,25,4,Mobile,1,Married,2,0,7,129.29,0
27,13,3,Laptop & Accessory,1,Married,5,0,7,168.54,0
20,25,4,Fashion,3,Divorced,7,0,,230.27,0
30,15,4,Others,4,Single,8,0,8,322.17,0
7,16,4,Mobile Phone,2,Divorced,2,0,11,152.81,0
1,15,6,Mobile Phone,5,Divorced,3,0,2,149.51,0
1,11,4,Mobile Phone,5,Single,3,0,1,154.73,1
11,12,4,Mobile Phone,3,Married,2,0,4,137.02,0
17,7,3,Laptop & Accessory,1,Married,5,1,2,157.43,0
6,26,6,Fashion,3,Married,5,0,,221.1,0
16,20,2,Laptop & Accessory,5,Married,7,0,1,180.38,0
1,7,4,Mobile Phone,3,Divorced,5,0,3,154.09,1
1,7,5,Fashion,3,Divorced,7,0,,231.09,1
6,14,3,Laptop & Accessory,5,Married,3,0,2,163.92,0
10,8,4,Laptop & Accessory,3,Single,8,0,1,193.15,0
,21,5,Mobile,1,Married,1,1,3,121.68,0
8,22,4,Fashion,2,Divorced,3,0,6,204.78,1
19,27,4,Grocery,1,Married,2,1,11,259.96,0
0,18,1,Mobile,4,Single,2,0,0,127.16,1
1,33,5,Laptop & Accessory,5,Single,7,0,2,191.96,1
3,22,3,Laptop & Accessory,3,Married,9,0,2,153.01,0
30,9,1,Mobile,5,Married,5,1,0,126.7,0
5,14,3,Fashion,1,Single,2,0,7,189.98,0
9,12,4,Fashion,4,Single,2,0,14,205.95,0
18,26,3,Laptop & Accessory,3,Single,9,0,1,148.5,0
16,17,3,Fashion,3,Married,2,0,9,175.1,0
0,,1,Mobile,3,Single,4,1,3,124.32,1
7,6,4,Fashion,5,Married,10,0,6,204.82,1
1,17,5,Fashion,5,Married,11,0,,228.06,1
12,6,1,Fashion,1,Married,1,0,7,196.13,0
30,11,4,Fashion,4,Married,3,1,4,205.52,0
11,17,2,Fashion,1,Married,3,1,9,262.44,0
0,,4,Mobile,4,Divorced,6,0,1,125.46,1
0,,4,Mobile,1,Married,6,0,3,123.67,1
0,,3,Mobile,5,Married,4,0,0,123.22,0
24,31,4,Grocery,3,Married,5,1,6,264.73,0
,6,4,Mobile,5,Married,2,0,2,122.18,0
0,9,3,Laptop & Accessory,5,Divorced,2,1,3,141.94,0
1,7,4,Mobile Phone,1,Married,11,1,3,172.87,1
4,18,3,Mobile Phone,1,Married,9,1,2,139.29,0
18,7,4,Fashion,3,Married,4,0,4,207.48,0
15,7,2,Fashion,5,Married,3,0,8,208.92,0
17,21,4,Grocery,5,Married,8,0,1,296.59,0
,7,4,Mobile,3,Married,2,0,0,120.08,0
4,15,4,Fashion,3,Married,7,0,8,197.64,0
5,9,4,Mobile Phone,1,Married,2,1,3,151.95,0
11,17,2,Mobile Phone,1,Single,5,0,1,171.8,0
24,6,4,Fashion,5,Single,4,0,8,174.84,0
0,6,3,Laptop & Accessory,3,Divorced,2,0,7,152.96,0
3,6,3,Laptop & Accessory,1,Single,2,0,7,140.11,0
61,28,4,Grocery,1,Married,6,1,1,303.75,0
16,9,4,Fashion,1,Married,4,1,,226.24,0
25,10,3,Grocery,2,Divorced,3,0,4,265.55,0
9,22,4,Laptop & Accessory,5,Married,5,0,2,156.47,0
8,8,4,Laptop & Accessory,1,Married,11,0,2,179.84,0
8,33,5,Mobile Phone,3,Married,3,0,1,145.29,0
0,,4,Mobile,4,Married,2,0,3,123.68,0
17,19,5,Grocery,4,Married,3,0,10,268.36,0
8,26,5,Mobile Phone,1,Married,3,0,8,154.29,0
3,,3,Mobile,1,Single,1,0,7,125.64,0
0,8,3,Laptop & Accessory,3,Single,2,1,4,144.78,0
4,32,3,Mobile,3,Married,2,0,3,129.11,0
1,10,4,Mobile Phone,5,Married,7,0,3,165.31,1
1,16,4,Mobile Phone,1,Single,3,0,1,135.81,1
1,31,6,Mobile Phone,1,Single,3,1,1,148.4,1
0,16,3,Laptop & Accessory,2,Single,1,0,1,149.5,0
1,16,3,Laptop & Accessory,3,Single,4,0,7,136.6,0
13,21,4,Fashion,3,Married,2,0,12,204.35,0
5,12,4,Laptop & Accessory,3,Married,3,0,3,208.46,0
1,11,4,Mobile Phone,5,Single,3,0,1,154.73,1
0,,3,Mobile,3,Married,2,0,3,125.17,0
15,13,4,Fashion,3,Single,3,0,,217.41,0
24,14,4,Fashion,4,Divorced,6,0,,224.9,0
8,16,5,Fashion,4,Single,3,0,,211.21,0
14,14,3,Laptop & Accessory,4,Married,6,0,4,143.93,0
5,15,5,Laptop & Accessory,1,Married,1,0,7,146.68,0
9,11,4,Laptop & Accessory,3,Single,3,1,2,167.49,0
1,31,4,Mobile Phone,2,Divorced,2,0,2,149,0
0,6,3,Laptop & Accessory,4,Divorced,1,1,4,163.49,0
7,8,3,Laptop & Accessory,5,Single,1,1,2,145.38,0
6,12,4,Laptop & Accessory,4,Married,3,0,4,190.24,0
1,10,4,Mobile Phone,1,Single,3,1,1,140.69,1
9,18,4,Fashion,2,Single,1,0,8,188.58,0
8,11,4,Fashion,1,Married,4,1,,222.13,0
,6,3,Mobile,1,Married,4,0,2,122.7,0
11,22,3,Laptop & Accessory,4,Single,3,0,2,141.98,0
4,10,4,Mobile Phone,1,Married,6,0,5,145.97,0
25,10,4,Grocery,4,Single,5,0,1,262.34,0
2,19,4,Laptop & Accessory,4,Married,5,1,3,140.25,0
30,6,3,Fashion,2,Divorced,4,1,,219.04,0
18,10,5,Fashion,3,Married,5,0,3,197.56,0
19,32,4,Laptop & Accessory,4,Single,9,0,2,179.91,0
,15,3,Mobile,1,Married,4,0,3,120.75,0
8,23,3,Laptop & Accessory,5,Married,4,1,7,189.66,0
0,30,1,Mobile Phone,5,Single,2,0,0,110.91,1
8,32,3,Fashion,1,Single,2,1,7,188.37,0
4,15,2,Fashion,5,Married,2,1,8,239.16,0
0,35,4,Laptop & Accessory,3,Single,2,0,8,145.08,1
2,23,4,Fashion,5,Single,2,0,9,179.88,0
4,8,5,Mobile,1,Married,5,1,0,127.78,1
19,21,3,Others,4,Married,6,0,3,290.81,0
19,,3,Mobile,3,Married,9,0,8,123.39,1
14,7,6,Laptop & Accessory,1,Married,4,1,3,199.57,0
15,9,4,Grocery,5,Divorced,9,0,9,290.95,0
5,11,3,Laptop & Accessory,4,Married,2,0,3,165.24,0
1,14,2,Mobile Phone,5,Single,2,0,8,160.78,0
8,,3,Mobile,3,Married,2,0,0,124.04,0
21,11,4,Laptop & Accessory,3,Single,5,0,1,154.76,0
1,7,5,Mobile Phone,3,Married,8,1,3,153,1
24,12,4,Mobile,3,Single,1,0,7,128.38,0
14,16,3,Laptop & Accessory,1,Single,8,0,10,162.3,0
13,,3,Mobile,1,Married,9,0,0,124.06,0
0,10,3,Laptop & Accessory,3,Divorced,2,1,3,141.62,0
21,10,4,Grocery,3,Married,11,1,14,262.7,0
29,9,5,Mobile Phone,1,Married,10,0,5,151.62,0
7,14,3,Laptop & Accessory,5,Married,4,0,0,151.21,0
14,15,4,Laptop & Accessory,5,Married,4,1,1,190.16,0
5,9,6,Mobile Phone,1,Married,6,1,1,152.78,1
5,14,5,Mobile Phone,3,Married,5,0,3,148.29,0
2,15,5,Mobile Phone,2,Married,3,0,5,174.36,0
3,7,6,Mobile Phone,2,Married,3,0,9,152.2,0
0,12,3,Mobile Phone,1,Married,2,1,2,56,0
11,20,3,Laptop & Accessory,4,Married,1,0,7,199.24,0
6,6,1,Grocery,3,Married,5,0,5,261.84,0
2,15,5,Mobile Phone,1,Married,3,0,5,174.36,0
1,9,4,Mobile Phone,4,Married,6,0,3,146.87,0
14,15,3,Fashion,3,Married,4,1,7,181.89,0
1,10,4,Mobile Phone,1,Single,3,1,1,140.69,1
3,11,4,Mobile Phone,2,Married,10,0,3,137.61,0
26,9,5,Mobile Phone,2,Single,9,0,3,157.12,0
1,20,5,Laptop & Accessory,5,Married,7,1,3,186.34,1
5,16,3,Laptop & Accessory,1,Single,9,0,0,146.48,0
13,14,3,Laptop & Accessory,5,Married,3,1,0,165.16,0
4,8,3,Laptop & Accessory,2,Single,5,1,5,165.82,0
0,,3,Mobile,2,Divorced,1,0,1,124,0
1,32,5,Mobile Phone,4,Single,6,1,3,148.13,1
30,11,4,Others,5,Married,6,0,3,324.43,0
0,26,5,Laptop & Accessory,3,Divorced,4,1,2,145.59,1
,8,4,Mobile,3,Single,7,1,0,120.9,1
17,11,5,Fashion,2,Single,5,0,,227.31,0
26,15,4,Mobile Phone,5,Divorced,11,0,5,154.5,0
5,25,1,Mobile,3,Married,7,1,2,127.59,1
0,,4,Mobile,3,Divorced,2,0,2,125.39,0
19,6,3,Fashion,5,Married,2,0,7,204.53,0
8,,4,Mobile,5,Single,2,0,2,124.5,0
,12,3,Laptop & Accessory,3,Married,3,1,5,123.06,0
,9,3,Mobile Phone,1,Married,2,0,0,117.06,0
1,20,5,Mobile Phone,5,Married,6,1,1,148.35,1
9,13,3,Mobile Phone,2,Single,3,0,1,146.78,0
1,10,4,Mobile Phone,3,Single,3,0,8,165.84,1
8,11,4,Laptop & Accessory,3,Divorced,11,0,3,190.38,0
26,7,4,Grocery,3,Married,5,1,,229.65,0
2,16,4,Mobile Phone,3,Married,7,0,3,148.77,0
,22,3,Mobile,3,Single,2,0,4,121.44,0
4,14,4,Laptop & Accessory,3,Married,3,0,10,159.91,0
16,30,4,Grocery,2,Single,4,0,1,284.92,0
1,12,4,Mobile Phone,4,Single,3,1,3,149.78,0
9,23,4,Fashion,3,Married,6,1,1,201.32,0
2,26,3,Mobile Phone,1,Married,2,0,10,138.12,0
10,14,3,Laptop & Accessory,4,Married,3,0,7,140.71,0
1,14,5,Laptop & Accessory,3,Divorced,4,0,1,186.32,0
23,,3,Mobile,1,Married,5,0,0,123.8,0
21,9,2,Grocery,4,Married,8,0,3,284.72,0
26,13,4,Fashion,1,Married,8,1,,209.34,0
11,16,3,Laptop & Accessory,3,Married,4,0,2,160.77,0
31,10,5,Laptop & Accessory,1,Single,7,0,6,176.71,0
14,12,5,Fashion,5,Divorced,7,1,,229.75,0
4,11,3,Laptop & Accessory,5,Single,1,0,7,199.36,0
17,34,3,Grocery,5,Divorced,4,0,17,263.28,0
7,10,3,Laptop & Accessory,3,Married,10,0,2,165.38,0
20,8,3,Others,4,Single,8,1,8,292.46,1
8,29,5,Laptop & Accessory,1,Married,3,1,12,182.47,0
1,16,6,Mobile Phone,4,Single,3,0,3,152.6,1
17,31,4,Fashion,5,Single,8,1,,229.48,1
27,13,4,Laptop & Accessory,3,Divorced,4,1,6,148.06,0
16,7,5,Laptop & Accessory,2,Divorced,11,1,3,185.62,0
16,9,4,Laptop & Accessory,1,Married,3,0,3,165.89,0
,13,3,Mobile Phone,3,Married,2,0,0,112.74,0
10,33,4,Laptop & Accessory,3,Married,8,0,3,178.47,0
10,30,2,Laptop & Accessory,1,Married,6,0,4,150.71,0
3,11,3,Mobile,5,Married,6,0,30,132.04,0
0,24,1,Laptop & Accessory,3,Divorced,3,0,2,162.32,0
12,16,3,Laptop & Accessory,5,Married,3,0,7,153.77,0
6,17,4,Laptop & Accessory,1,Single,10,0,1,171.48,0
11,18,4,Laptop & Accessory,5,Married,3,0,2,162.88,0
6,7,5,Mobile Phone,4,Married,2,0,3,147.69,0
4,6,3,Laptop & Accessory,5,Married,2,0,3,141.48,0
17,9,4,Mobile Phone,1,Single,2,0,9,160.39,0
7,21,3,Fashion,2,Divorced,2,0,5,179.78,1
8,15,4,Laptop & Accessory,5,Married,7,0,3,190,0
15,9,5,Laptop & Accessory,3,Single,4,1,8,193.11,0
31,9,5,Grocery,2,Single,5,1,4,262.26,0
16,14,3,Laptop & Accessory,4,Married,5,0,0,147.65,0
18,26,3,Laptop & Accessory,3,Single,9,0,1,148.5,0
3,12,4,Laptop & Accessory,1,Married,5,0,1,145.86,1
11,7,5,Mobile Phone,5,Divorced,4,0,3,164.2,0
0,5,4,Mobile,3,Single,2,0,2,130.33,0
20,9,4,Fashion,1,Married,5,0,,210.78,0
11,11,4,Mobile Phone,3,Divorced,9,1,4,154.96,0
0,22,3,Fashion,5,Single,3,1,0,185.64,1
10,13,2,Mobile Phone,1,Married,5,0,1,155.38,0
1,22,4,Mobile Phone,3,Married,3,0,3,151.1,1
9,24,4,Laptop & Accessory,5,Married,5,1,,214.66,0
1,6,4,Laptop & Accessory,1,Married,2,1,7,168.34,0
9,9,4,Laptop & Accessory,1,Married,4,0,8,182.62,0
2,10,4,Mobile Phone,4,Married,3,0,1,153.56,0
30,15,4,Mobile Phone,5,Married,6,1,3,167.57,0
12,23,4,Laptop & Accessory,4,Single,4,0,3,166.98,0
8,22,3,Fashion,3,Married,5,1,0,176.32,0
22,26,3,Laptop & Accessory,5,Married,2,0,11,165.67,0
8,33,3,Laptop & Accessory,3,Married,3,0,7,168.83,0
20,32,3,Others,3,Married,4,0,0,296.58,0
,9,4,Mobile Phone,3,Divorced,2,0,0,112.81,0
20,20,3,Laptop & Accessory,4,Married,9,0,7,154.67,0
0,10,3,Mobile,2,Single,2,1,2,128.75,0
28,24,4,Fashion,3,Married,10,0,9,232.39,0
22,7,2,Grocery,1,Single,4,0,2,293.85,0
16,21,4,Grocery,3,Married,2,0,11,276.03,0
7,9,5,Laptop & Accessory,1,Single,6,0,2,160.29,0
1,28,4,Mobile Phone,3,Married,3,0,1,148.77,1
,16,3,Mobile,3,Divorced,2,1,0,122.2,0
,14,4,Laptop & Accessory,4,Married,2,1,7,121.33,0
4,8,4,Laptop & Accessory,5,Divorced,4,0,0,164.1,0
25,13,5,Mobile Phone,3,Single,2,0,8,153.38,0
14,33,4,Laptop & Accessory,5,Married,3,0,6,208.96,0
4,9,4,Mobile Phone,4,Divorced,3,0,1,149.76,0
18,15,4,Laptop & Accessory,3,Divorced,2,0,12,155.93,0
10,10,5,Fashion,1,Married,6,0,,221.99,0
18,27,4,Mobile Phone,4,Single,3,0,4,159.2,0
11,17,4,Laptop & Accessory,4,Single,4,1,2,166.97,0
8,18,5,Laptop & Accessory,4,Married,6,0,9,169.9,0
22,,3,Mobile,5,Married,5,1,2,125.87,0
4,27,4,Laptop & Accessory,5,Married,2,0,,224.57,0
0,11,4,Fashion,2,Married,2,1,,228.08,0
18,35,4,Grocery,5,Married,5,0,18,288.28,0
13,11,4,Laptop & Accessory,3,Single,2,0,9,175.42,0
31,22,4,Grocery,3,Married,4,1,3,282.87,0
0,17,1,Laptop & Accessory,3,Married,9,0,2,147.07,1
1,25,2,Mobile Phone,5,Married,2,0,1,154.56,1
1,14,4,Mobile Phone,4,Single,3,1,1,149.72,1
20,22,4,Others,4,Divorced,7,0,4,315.81,0
4,11,3,Mobile Phone,1,Married,1,1,3,148.21,0
1,7,3,Mobile Phone,5,Married,2,0,2,135.91,0
8,22,4,Laptop & Accessory,4,Married,1,1,2,147.88,0
13,15,3,Laptop & Accessory,3,Married,4,0,7,139.75,0
1,16,4,Mobile Phone,4,Single,3,0,4,147.79,0
25,17,3,Laptop & Accessory,3,Divorced,9,0,4,131.49,0
19,11,6,Fashion,3,Married,6,0,,222.56,0
24,17,5,Fashion,1,Single,8,0,,229.96,0
0,22,5,Mobile Phone,5,Single,2,1,7,139.19,1
15,35,5,Grocery,4,Married,2,0,11,260.7,0
7,16,3,Laptop & Accessory,3,Married,2,1,7,140.01,0
19,6,3,Fashion,5,Married,2,0,7,204.53,0
11,6,4,Mobile,5,Single,5,0,0,128.58,0
24,7,4,Laptop & Accessory,3,Married,2,0,14,188.47,0
29,21,2,Others,4,Single,10,0,16,312.22,0
15,12,3,Fashion,5,Married,10,0,7,233.48,0
15,11,4,Fashion,3,Married,2,1,,229.47,0
4,14,3,Laptop & Accessory,1,Single,2,0,8,144.24,0
,12,4,Mobile,3,Married,1,0,3,121.87,0
0,8,4,Mobile,1,Single,8,0,0,127.85,1
7,6,1,Mobile,1,Single,3,0,3,132.8,0
2,11,4,Laptop & Accessory,3,Married,3,0,5,167.21,0
9,34,5,Mobile Phone,5,Single,3,0,2,150.59,0
4,8,3,Mobile,3,Married,1,0,2,130.67,0
10,18,5,Laptop & Accessory,1,Married,6,0,1,191.52,0
,26,3,Mobile,3,Divorced,5,0,0,122.59,0
7,32,4,Laptop & Accessory,3,Divorced,3,0,2,170.39,0
1,7,6,Mobile Phone,4,Single,9,1,8,147.16,1
0,9,4,Fashion,1,Married,2,1,7,203.25,1
19,11,4,Laptop & Accessory,4,Divorced,3,0,9,169.47,0
16,32,3,Grocery,1,Married,2,1,12,269.59,0
4,9,5,Mobile Phone,5,Single,2,0,8,174.68,0
16,36,4,Laptop & Accessory,3,Married,4,0,3,170.56,0
0,12,3,Mobile,5,Single,3,0,3,129.6,1
31,35,5,Fashion,5,Married,6,0,,227.66,0
30,13,1,Laptop & Accessory,1,Married,1,1,9,152.2,0
15,7,4,Laptop & Accessory,5,Married,2,0,8,166.03,0
6,9,4,Laptop & Accessory,3,Single,6,1,8,174.98,0
6,15,4,Fashion,2,Single,3,0,,214.98,0
30,13,3,Others,5,Divorced,6,0,10,295.66,0
6,13,3,Fashion,3,Divorced,1,0,,216.91,0
5,14,5,Mobile Phone,3,Divorced,5,0,3,148.29,0
1,27,3,Mobile,2,Divorced,2,0,2,127.13,0
7,9,4,Laptop & Accessory,1,Married,3,0,5,180.05,0
,28,3,Mobile,3,Married,5,1,1,121.32,1
1,13,4,Mobile Phone,1,Married,3,1,3,81,0
2,23,3,Laptop & Accessory,5,Single,2,0,8,181.61,0
16,36,4,Laptop & Accessory,3,Married,4,0,3,170.56,0
16,19,4,Mobile Phone,4,Married,10,0,5,152.66,0
19,9,1,Grocery,5,Married,3,0,8,232.25,0
16,14,2,Laptop & Accessory,4,Married,8,1,1,148.72,0
11,9,3,Laptop & Accessory,2,Single,9,1,0,168.61,0
10,21,4,Laptop & Accessory,1,Married,2,1,12,190.86,0
15,14,6,Others,3,Married,3,0,11,324.73,0
14,14,4,Others,4,Single,3,0,9,323.33,0
1,31,2,Mobile Phone,5,Single,3,0,1,135.91,1
23,8,3,Grocery,3,Married,6,0,3,276.39,0
13,32,3,Laptop & Accessory,4,Married,2,0,13,156.05,0
0,6,3,Mobile,4,Single,2,1,4,132.02,1
19,13,3,Laptop & Accessory,3,Married,3,0,0,152.58,0
8,,4,Mobile,1,Married,2,0,2,123.76,0
25,14,3,Mobile,5,Married,10,0,4,129.5,0
10,17,4,Fashion,2,Single,3,0,,224.8,0
1,7,6,Laptop & Accessory,4,Single,8,0,1,192.35,1
19,14,3,Laptop & Accessory,3,Divorced,6,0,3,189.34,0
6,31,3,Laptop & Accessory,3,Married,2,0,1,145.39,0
1,32,4,Laptop & Accessory,5,Married,2,0,4,147.24,0
16,12,4,Mobile Phone,3,Married,6,0,1,145.93,0
9,13,4,Mobile Phone,3,Divorced,2,1,3,160.06,0
1,26,3,Laptop & Accessory,2,Single,10,1,5,178.04,1
7,9,4,Mobile Phone,2,Single,2,0,3,150,0
1,25,2,Laptop & Accessory,3,Divorced,4,0,3,187.32,0
8,17,4,Mobile Phone,3,Divorced,3,1,1,147.2,0
,21,3,Mobile Phone,1,Single,2,0,0,112.32,0
17,9,5,Fashion,1,Married,2,0,,226.69,1
,15,4,Mobile,3,Single,2,0,8,122.06,0
7,12,5,Mobile Phone,1,Married,3,0,3,154.11,0
